,,,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC
,,,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,#Ct Pos,#Tm NS,#Tm PD,#Tm Specif,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1
A81_E303_1,AMR_NDM_18.x_NDM41_NDM49,K.pneumoniae-NDM_2146,0.0,0.0,0.0,4.0,32.5776176452637,92.325927734375,32.24142599105837,0.11191014,1.142648575,16.765656659999998,31.8018741607666,92.18896484375,2.0,0.0,0.0,2.0,29.11403465271,92.0519866943359,29.10213279724125,0.0,0.0,31.58129072,29.0902309417725,92.0519866943359,2.0,0.0,0.0,2.0,25.8196296691895,92.0519866943359,25.74356079101565,0.30114271000000004,0.0,46.71137276,25.6674919128418,92.0519866943359,2.0,0.0,0.0,2.0,22.3898754119873,92.0519866943359,22.3879156112671,0.0,0.0,69.11095781,22.3859558105469,92.0519866943359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_1,AMR_NDM_7.x_NDM25_NDM30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,33.9510383605957,83.4227676391602,33.61792755126955,17.100938550000002,1.88266936,0.36023342999999997,33.2848167419434,83.2857971191406,0.0,2.0,0.0,0.0,38.6840705871582,89.3125534057617,38.6840705871582,27.40060282,0.0,0.0,38.6840705871582,89.1755828857422,1.0,2.0,0.0,0.0,35.5245895385742,82.0530548095703,31.977181434631348,0.0,3.2903337500000003,0.0,28.4297733306885,81.0942459106445
A81_E303_1,AMR_NDM_7.x_NDM25_NDM30,K.pneumoniae-NDM_2146,0.0,0.0,0.0,4.0,31.9606189727783,92.4629058837891,30.95156049728395,0.0,1.4498235400000001,13.427899700000001,29.7935256958008,92.18896484375,2.0,0.0,0.0,2.0,27.8772678375244,92.18896484375,27.87567710876465,0.0,0.94494959,24.58716603,27.8740863800049,92.0519866943359,2.0,0.0,0.0,2.0,24.9936809539795,92.0519866943359,24.83009147644045,0.0,0.0,33.03219791,24.6665019989014,92.0519866943359,2.0,0.0,0.0,2.0,21.7277812957764,92.0519866943359,21.480782508850098,0.0,0.0,39.14451824,21.2337837219238,92.0519866943359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.10_NDM42_NDM46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,34.4866218566895,77.9341125488281,34.35888290405275,nan,nan,nan,34.231143951416,77.9341125488281,0.0,2.0,2.0,0.0,nan,76.8390045166016,nan,nan,nan,nan,nan,62.6025848388672,0.0,2.0,0.0,0.0,30.4344005584717,80.6718902587891,30.332613945007353,nan,nan,nan,30.230827331543,80.5349960327148
A81_E303_2,AMR_NDM_x.10_NDM42_NDM46,K.pneumoniae-NDM_2146,0.0,0.0,1.0,4.0,31.0531539916992,92.1705322265625,30.06720304489135,nan,nan,nan,29.4593849182129,92.0336456298828,2.0,0.0,0.0,2.0,26.9984340667725,92.0336456298828,26.50731468200685,nan,nan,nan,26.0161952972412,91.8967590332031,2.0,0.0,0.0,2.0,25.5061168670654,92.0336456298828,25.381254196167,nan,nan,nan,25.2563915252686,91.8967590332031,2.0,0.0,0.0,2.0,22.1600608825684,92.0336456298828,22.0148630142212,nan,nan,nan,21.869665145874,91.8967590332031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.5_NDM27_NDM29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,34.5514602661133,88.4745330810547,34.168430328369155,2.5472296500000002,4.09729986,4.32409217,33.785400390625,88.4745330810547,0.0,2.0,1.0,0.0,nan,84.9154357910156,nan,0.861882,0.0,11.05556363,nan,84.7785491943359,0.0,0.0,0.0,2.0,27.461181640625,89.5696487426758,27.047438621521,2.3422954000000002,5.82438692,0.58141783,26.633695602417,89.5696487426758
A81_E303_2,AMR_NDM_x.5_NDM27_NDM29,K.pneumoniae-NDM_2146,0.0,2.0,0.0,4.0,32.8540725708008,89.7065353393555,29.73501348495485,1.5678593349999999,5.738005385,2.716719405,24.9087085723877,88.6114273071289,0.0,0.0,0.0,2.0,28.6692485809326,89.5696487426758,28.6101379394531,0.0,0.96843926,17.30356268,28.5510272979736,89.5696487426758,0.0,0.0,0.0,2.0,25.7288570404053,89.5696487426758,25.54571342468265,0.0,1.44499079,20.86362174,25.36256980896,89.4327545166016,2.0,0.0,0.0,2.0,22.452787399292,89.5696487426758,22.352427482605002,0.0,0.0,29.958557120000002,22.252067565918,89.5696487426758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.6_NDM33_NDM35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,28.0920925140381,76.428337097168,25.57762718200685,20.87609491,9.91774421,0.0,23.0631618499756,76.1545562744141,0.0,2.0,2.0,0.0,20.9913578033447,89.5696487426758,20.9913578033447,0.69495133,8.21266064,0.0,20.9913578033447,89.5696487426758,0.0,0.0,2.0,0.0,19.6908493041992,76.9758911132812,18.2689037322998,3.0487908399999997,8.93608077,0.0,16.8469581604004,76.9758911132812
A81_E303_2,AMR_NDM_x.6_NDM33_NDM35,K.pneumoniae-NDM_2146,0.0,0.0,4.0,0.0,23.840747833252,76.7021179199219,22.0299053192139,0.0,8.554764865,0.0,21.1070957183838,76.5652313232422,0.0,0.0,2.0,2.0,23.458324432373,92.4443054199219,23.10853195190425,0.0,8.70006919,2.75895795,22.7587394714355,92.4443054199219,0.0,0.0,1.0,2.0,23.8621196746826,92.4443054199219,22.7434148788452,0.0,8.31942927,3.8191375599999997,21.6247100830078,92.3074188232422,0.0,0.0,0.0,2.0,22.3840141296387,92.4443054199219,21.725840568542502,0.0,5.32585347,16.830562229999998,21.0676670074463,92.4443054199219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.7_NDM33_NDM36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,39.255542755127,78.892333984375,38.8381786346436,0.0,2.9940501200000003,0.0,38.4208145141602,78.6185607910156,0.0,2.0,1.0,0.0,39.8602828979492,88.2007598876953,39.8602828979492,4.21683132,0.0,0.0,39.8602828979492,88.0638732910156,0.0,0.0,2.0,0.0,33.7707824707031,79.4398880004883,33.76218032836915,0.0,7.57836786,0.0,33.7535781860352,79.4398880004883
A81_E303_2,AMR_NDM_x.7_NDM33_NDM36,K.pneumoniae-NDM_2146,0.0,0.0,2.0,4.0,32.548957824707,92.3074188232422,32.15196752548218,0.0,5.1649472549999995,14.650897150000002,31.5529727935791,92.1705322265625,2.0,0.0,0.0,2.0,29.9220542907715,92.1705322265625,29.88551330566405,0.0,4.02434795,25.80522272,29.8489723205566,92.1705322265625,2.0,0.0,0.0,2.0,26.5624084472656,92.1705322265625,26.5591287612915,0.0,4.99262887,26.94434369,26.5558490753174,92.1705322265625,2.0,0.0,0.0,2.0,23.3393402099609,92.1705322265625,23.279308319091797,0.0,0.7478908400000001,41.85917824,23.2192764282227,92.1705322265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.8_NDM33_NDM37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,26.9897556304932,76.8390045166016,25.376604080200202,0.0,17.01175927,0.0,23.7634525299072,76.8390045166016,0.0,2.0,2.0,0.0,nan,75.743896484375,nan,0.0,11.32032615,0.0,nan,75.6070098876953,0.0,1.0,2.0,0.0,20.1644725799561,77.2496719360352,19.7967586517334,1.3509178,9.29862977,0.0,19.4290447235107,76.7021179199219
A81_E303_2,AMR_NDM_x.8_NDM33_NDM37,K.pneumoniae-NDM_2146,0.0,1.0,4.0,0.0,22.8593368530273,82.3145523071289,20.379227638244625,0.095817725,11.415411025000001,0.0,18.3893222808838,76.7021179199219,0.0,0.0,2.0,1.0,22.068603515625,92.5811920166016,20.38685512542725,0.0,9.56275097,3.07846189,18.7051067352295,76.8390045166016,0.0,0.0,2.0,2.0,20.1289691925049,92.5811920166016,19.357275009155302,0.0,8.322350870000001,3.94985983,18.5855808258057,92.4443054199219,0.0,0.0,0.0,2.0,20.9273319244385,92.4443054199219,20.58077812194825,0.0,7.84655966,12.27754469,20.234224319458,92.4443054199219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_2,AMR_NDM_x.9_NDM42_NDM45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,37.598705291748,83.2727661132812,37.598705291748,3.80554198,6.8746877799999995,0.0,37.598705291748,77.2496719360352,0.0,2.0,1.0,0.0,nan,84.9154357910156,nan,15.10729007,2.17951965,0.0,nan,84.9154357910156,0.0,2.0,2.0,0.0,35.4229393005371,80.2612228393555,35.4229393005371,0.0,1.4785091000000001,0.0,35.4229393005371,79.8505554199219
A81_E303_2,AMR_NDM_x.9_NDM42_NDM45,K.pneumoniae-NDM_2146,3.0,0.0,1.0,4.0,32.9799041748047,92.0336456298828,31.4969038963318,0.0,3.55978803,14.416486500000001,30.2887153625488,91.7598648071289,2.0,0.0,0.0,2.0,29.2555332183838,91.7598648071289,28.9290351867676,0.0,3.5062859900000003,24.6493888,28.6025371551514,91.7598648071289,2.0,0.0,0.0,2.0,25.5217018127441,91.6229782104492,25.48528480529785,0.0,0.0,32.62816932,25.4488677978516,91.6229782104492,2.0,0.0,0.0,2.0,22.0184345245361,91.6229782104492,21.9802379608154,0.0,0.0,38.43519074,21.9420413970947,91.6229782104492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81_E303_3,AMR_NDM_x.10_NDM42_NDM46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,39.7885475158691,75.6118774414062,39.7603378295898,0.0,7.64357316,0.0,39.7321281433105,75.6118774414062,0.0,2.0,2.0,0.0,nan,87.8286895751953,nan,0.0,10.22409393,0.0,nan,67.8745574951172,0.0,0.0,2.0,0.0,36.6665191650391,75.8833618164062,35.92038345336915,0.0,4.17990533,0.0,35.1742477416992,75.8833618164062
